,id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,pub_rec_bankruptcies
13434,782129,18000.0,12525.0,12525.0, 60 MONTHS,21.82,344.65,F,F2,BILLABONG USA,< 1 YEAR,RENT,50000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,926XX,CA,12.31,0,2000-01-01,3,9,0,26949,71.1,27,0.0,0.0,10510.38,10510.38,4011.19,5261.53,17.16500943,1220.49,12.20489999,2013-09-01,344.65,2014-03-01,0.0
13441,779779,12000.0,12000.0,11975.0, 36 MONTHS,7.91,375.54,A,A4,EZ PRINTS INC,5 YEARS,MORTGAGE,39996.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,305XX,GA,24.63,1,2001-10-01,0,13,0,5600,14.8,24,0.0,0.0,6001.6,5989.12,4979.05,1022.55,0.0,0.0,0.0,2012-10-01,375.54,2016-05-01,0.0
13443,782043,10000.0,10000.0,10000.0, 36 MONTHS,11.63,330.38,B,B3,T-MOBILE,1 YEAR,RENT,35000.0,VERIFIED,2011-06-01,CHARGED OFF,MEDICAL,607XX,IL,9.02,0,2008-02-01,1,8,0,1479,19.2,10,0.0,0.0,7532.7,7532.7,5626.23,1618.9,16.49926707,271.07,3.0,2013-05-01,677.28,2013-10-01,0.0
13453,778627,11200.0,11200.0,11200.0, 36 MONTHS,7.42,347.98,A,A3,FIRST HEALTH MONTGOMERY HOSPITAL,4 YEARS,MORTGAGE,50400.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,MAJOR_PURCHASE,273XX,NC,6.12,0,2003-04-01,0,7,0,10106,59.4,24,0.0,0.0,8565.07,8565.07,7170.34,1163.88,0.0,230.85,2.308500002,2013-06-01,381.92,2013-11-01,0.0
13468,781514,27000.0,17425.0,17175.0, 60 MONTHS,20.69,468.38,E,E4,SHEPARDVILLE CONSTRUCTION,10+ YEARS,MORTGAGE,170000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,064XX,CT,5.16,0,1991-09-01,0,6,0,12263,93.6,11,0.0,0.0,9366.84,9232.42,3963.85,5388.35,0.0,14.64,0.0,2013-02-01,468.38,2016-04-01,0.0
13480,781407,35000.0,35000.0,34975.0, 36 MONTHS,11.63,1156.33,B,B3,"STEVEN W. RICKARD AND ASSOCIATES, INC.",10+ YEARS,MORTGAGE,487000.0,VERIFIED,2011-06-01,CHARGED OFF,HOME_IMPROVEMENT,171XX,PA,12.16,0,1993-04-01,1,17,0,26803,57.1,50,0.0,0.0,23851.08,23834.15,17917.52,5206.95,0.0,726.61,32.60159999,2013-03-01,26.8,2016-05-01,0.0
13483,781360,16000.0,16000.0,15750.0, 60 MONTHS,16.11,390.03,C,C5,BREVARD COUNTY SHERIFFS OFFICE,10+ YEARS,MORTGAGE,50000.0,NOT VERIFIED,2011-06-01,CHARGED OFF,CREDIT_CARD,327XX,FL,22.8,0,1993-10-01,0,7,0,18558,72.5,29,0.0,0.0,8579.87,8445.34,4431.89,4147.98,0.0,0.0,0.0,2013-05-01,35.64,2016-05-01,0.0
13489,741724,15000.0,11450.0,11450.0, 60 MONTHS,22.94,322.39,F,F5,MOLISSE REALTY GROUP,3 YEARS,RENT,60000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,020XX,MA,19.28,0,2004-08-01,3,6,0,12488,86.1,13,0.0,0.0,2892.87,2892.87,1003.04,1889.83,0.0,0.0,0.0,2012-03-01,322.39,2016-04-01,0.0
13492,774690,12000.0,12000.0,12000.0, 60 MONTHS,24.4,348.01,G,G4,MARY MANNING WALSH HOME,7 YEARS,RENT,35775.63,NOT VERIFIED,2011-06-01,CHARGED OFF,RENEWABLE_ENERGY,114XX,NY,12.98,0,2006-12-01,0,2,0,15780,98.6,5,0.0,0.0,4777.71,4777.71,1392.39,2775.71,0.0,609.61,5.85,2012-07-01,696.02,2012-11-01,0.0
13500,780992,25475.0,21575.0,21300.0, 60 MONTHS,13.49,496.33,C,C2,CENTRAL TRANSPORT,7 YEARS,MORTGAGE,68900.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,730XX,OK,28.04,0,1996-06-01,0,14,0,38881,67.5,28,0.0,0.0,7441.98,7346.98,4112.07,3315.78,0.0,14.13,0.0,2012-09-01,496.33,2016-05-01,0.0
13502,780910,2400.0,2400.0,2375.0, 36 MONTHS,17.19,85.8,D,D2,SHERATON HOUSTON BROOKHOLLOW,1 YEAR,RENT,30000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,770XX,TX,5.48,0,2002-10-01,3,21,0,2663,54.3,43,0.0,0.0,358.01,354.29,156.1,100.67,0.0,101.24,0.97,2011-09-01,85.8,2012-02-01,0.0
13506,780798,5000.0,5000.0,4975.0, 36 MONTHS,15.62,174.85,C,C4,,1 YEAR,RENT,43200.0,NOT VERIFIED,2011-06-01,CHARGED OFF,OTHER,765XX,TX,14.58,0,2003-01-01,2,6,0,954,59.6,14,0.0,0.0,1625.97,1617.85,916.41,478.15,0.0,231.41,41.6538,2012-02-01,174.85,2014-07-01,0.0
13514,780636,9750.0,9750.0,9750.0, 36 MONTHS,17.19,348.54,D,D2,UNIVERSAL PROTECTION SERVICE,3 YEARS,RENT,20800.0,NOT VERIFIED,2011-06-01,CHARGED OFF,MAJOR_PURCHASE,917XX,CA,11.71,0,2006-04-01,1,5,0,6865,98.1,6,0.0,0.0,4919.85,4919.85,2954.54,1565.95,0.0,399.36,3.9,2012-07-01,348.54,2012-12-01,0.0
13527,779365,8000.0,8000.0,7975.0, 36 MONTHS,12.12,266.18,B,B4,LAUFER DALENA CADICINA JENSEN & BOYD,1 YEAR,RENT,42000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,070XX,NJ,23.97,0,2001-10-01,2,10,0,10557,70.4,25,0.0,0.0,3961.42,3949.05,2192.13,968.75,0.0,800.54,144.0972,2012-09-01,500.0,2012-11-01,0.0
13534,768835,9725.0,9725.0,9725.0, 36 MONTHS,12.12,323.57,B,B4,,8 YEARS,OWN,50000.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,106XX,NY,24.69,0,1998-11-01,2,8,0,25115,79.6,16,0.0,0.0,4101.5,4101.5,2493.72,1177.72,16.12508936,413.94,3.96,2012-08-01,141.18,2016-04-01,0.0
13536,778770,10000.0,10000.0,10000.0, 60 MONTHS,16.59,246.33,D,D1,TEXAS DEPARTMENT OF TRANSPORTATION,10+ YEARS,RENT,34572.0,VERIFIED,2011-06-01,CHARGED OFF,MAJOR_PURCHASE,760XX,TX,20.31,0,1999-10-01,1,4,0,1512,58.2,8,0.0,0.0,2792.36,2792.36,667.96,802.64,0.0,1321.76,237.9168,2011-12-01,246.33,2012-05-01,0.0
13551,779894,35000.0,24125.0,24100.0, 60 MONTHS,20.62,647.52,F,F2,OLIVE VIEW MEDICAL CENTER,10+ YEARS,MORTGAGE,104000.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,935XX,CA,21.55,0,1990-03-01,2,17,0,32304,64.6,32,0.0,0.0,13225.93,13212.24,5500.88,7440.92,0.0,284.13,16.66799999,2013-02-01,647.52,2016-05-01,0.0
13567,779667,6000.0,6000.0,5975.0, 36 MONTHS,13.49,203.59,C,C2,,10+ YEARS,RENT,72000.0,VERIFIED,2011-06-01,CHARGED OFF,OTHER,941XX,CA,6.43,2,1993-01-01,1,5,0,2642,49.8,16,0.0,0.0,4627.75,4608.57,3360.49,1097.15,0.0,170.11,1.78,2013-04-01,203.59,2013-09-01,0.0
13571,774335,7125.0,7125.0,6875.0, 36 MONTHS,9.99,229.88,B,B1,RAMOS @ ASSOCIATES INC.,2 YEARS,MORTGAGE,60000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,194XX,PA,13.38,0,1999-08-01,0,7,0,14077,51.0,28,0.0,0.0,2707.05,2611.66,1947.52,569.83,0.0,189.7,2.2,2012-05-01,229.88,2012-10-01,0.0
13574,779487,26500.0,17500.0,17450.0, 60 MONTHS,16.49,430.14,D,D3,QINETIQ NORTH AMERICA,2 YEARS,MORTGAGE,56000.0,VERIFIED,2011-06-01,CHARGED OFF,SMALL_BUSINESS,997XX,AK,16.59,0,1995-02-01,2,11,0,19625,34.0,24,0.0,0.0,4481.81,4469.03,972.3,1173.05,0.0,2336.46,420.5628,2011-11-01,430.14,2012-04-01,0.0
13575,778955,8000.0,8000.0,7975.0, 60 MONTHS,18.39,204.85,E,E2,DEANGELO BROTHERS,< 1 YEAR,MORTGAGE,50000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,OTHER,320XX,FL,7.61,1,1993-08-01,0,9,1,12501,49.6,27,0.0,0.0,761.97,759.59,165.74,243.9,0.0,352.33,3.42,2011-08-01,204.85,2012-01-01,1.0
13577,779432,20000.0,20000.0,19975.0, 60 MONTHS,15.23,478.22,C,C5,CLOVER PARK SCHOOL DIST.,5 YEARS,RENT,42000.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,984XX,WA,21.14,0,2002-08-01,1,6,0,19020,76.1,21,0.0,0.0,14344.65,14326.89,8097.93,6246.72,0.0,0.0,0.0,2014-01-01,61.99,2016-05-01,0.0
13584,778768,9000.0,9000.0,9000.0, 36 MONTHS,15.62,314.73,D,D1,ADVANCED SAFETY,1 YEAR,RENT,38400.0,NOT VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,874XX,NM,6.41,0,2001-01-01,0,3,0,238,47.6,11,0.0,0.0,6251.8,6251.8,4215.37,1746.64,0.0,289.79,3.09,2013-01-01,314.73,2013-06-01,0.0
13586,779326,2050.0,2050.0,1800.0, 36 MONTHS,13.49,69.56,C,C2,US BANCORP FUND SERVICES,10+ YEARS,MORTGAGE,33000.0,NOT VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,532XX,WI,22.84,0,1998-10-01,0,6,0,3863,99.1,19,0.0,0.0,691.4,606.6,486.44,204.96,0.0,0.0,0.0,2012-05-01,69.56,2016-05-01,0.0
13589,779278,3200.0,3200.0,3200.0, 36 MONTHS,12.99,107.81,C,C1,,,RENT,39000.0,VERIFIED,2011-06-01,CHARGED OFF,MEDICAL,331XX,FL,17.48,0,1995-02-01,3,10,0,10145,74.0,16,0.0,0.0,2651.68,2651.68,1972.43,593.96,14.97495594,70.32,0.7032,2013-06-01,215.62,2013-11-01,0.0
13598,779062,1300.0,1300.0,1300.0, 36 MONTHS,13.49,44.11,C,C2,F.C.I. RAYBROOK,10+ YEARS,RENT,70000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,MEDICAL,129XX,NY,1.95,0,2000-11-01,0,4,0,1870,69.3,15,0.0,0.0,803.38,803.38,442.6,172.28,0.0,188.5,32.13,2012-08-01,44.11,2016-04-01,0.0
13601,776394,3000.0,3000.0,2975.0, 36 MONTHS,9.99,96.79,B,B1,WOODLEY BUILDING MAINTENANCE,< 1 YEAR,RENT,19200.0,VERIFIED,2011-06-01,CHARGED OFF,HOME_IMPROVEMENT,660XX,KS,11.31,0,2005-04-01,0,3,0,5209,78.9,3,0.0,0.0,2102.42,2084.97,1633.93,390.47,0.0,78.02,0.91,2013-03-01,96.79,2013-08-01,0.0
13602,778997,4800.0,4800.0,4800.0, 60 MONTHS,17.49,120.57,D,D5,US ARMY,8 YEARS,RENT,70248.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,799XX,TX,23.35,0,2001-03-01,1,13,0,4918,47.3,28,0.0,0.0,1398.9,1398.9,536.53,662.77,29.88484234,169.71,1.69,2012-04-01,120.57,2012-09-01,0.0
13607,778974,11500.0,11500.0,11500.0, 36 MONTHS,10.99,376.45,B,B3,NGP MANAGEMENT LLC,3 YEARS,MORTGAGE,55000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,018XX,MA,22.21,0,1999-04-01,1,12,0,18132,80.6,33,0.0,0.0,4517.13,4517.13,3408.36,1090.32,0.0,18.45,0.0,2012-06-01,376.45,2016-04-01,0.0
13613,778837,17600.0,17600.0,17600.0, 36 MONTHS,13.49,597.18,C,C2,MTA METRO NORTH RAILROAD,10+ YEARS,MORTGAGE,100000.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,109XX,NY,12.67,0,1985-02-01,1,15,0,33594,56.1,38,0.0,0.0,3106.21,3106.21,1617.48,761.0,0.0,727.73,11.7,2011-10-01,597.18,2012-03-01,0.0
13619,771198,20000.0,20000.0,20000.0, 60 MONTHS,21.36,545.13,F,F4,ENCINAL YACHT CLUB,< 1 YEAR,RENT,75000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,CREDIT_CARD,945XX,CA,9.6,0,1990-08-01,0,5,0,19417,99.6,8,0.0,0.0,20153.61,20153.61,8722.65,9789.69,0.0,1641.27,16.1919,2014-04-01,545.13,2014-09-01,0.0
13621,766990,21000.0,21000.0,20975.0, 36 MONTHS,9.99,677.52,B,B1,CBRE,10+ YEARS,MORTGAGE,175000.0,NOT VERIFIED,2011-06-01,CHARGED OFF,CREDIT_CARD,921XX,CA,9.14,1,1999-05-01,0,16,0,47073,56.1,39,0.0,0.0,10840.06,10827.24,8551.58,2271.3,0.0,17.18,0.0,2012-10-01,677.52,2016-05-01,0.0
13625,778440,12000.0,12000.0,12000.0, 60 MONTHS,16.89,297.53,D,D4,LAVIE,10+ YEARS,RENT,140000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,303XX,GA,13.89,0,1995-11-01,1,16,0,41329,61.8,39,0.0,0.0,4165.28,4165.28,1959.22,2206.06,0.0,0.0,0.0,2012-09-01,33.74,2016-05-01,0.0
13635,778478,35000.0,22725.0,22700.0, 60 MONTHS,17.49,570.78,D,D5,UPS,10+ YEARS,MORTGAGE,81504.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,078XX,NJ,17.24,0,1998-05-01,2,7,0,35727,68.6,15,0.0,0.0,7417.54,7409.45,2822.64,3453.88,0.0,1141.02,11.14,2012-06-01,31.62,2012-11-01,0.0
13646,778280,20000.0,20000.0,19975.0, 60 MONTHS,10.59,430.78,B,B2,,5 YEARS,MORTGAGE,60000.0,VERIFIED,2011-06-01,CHARGED OFF,SMALL_BUSINESS,325XX,FL,8.7,0,1992-08-01,0,8,0,504,42.0,38,0.0,0.0,4346.54,4341.13,1025.73,689.15,0.0,2631.66,473.6988,2011-10-01,430.78,2012-03-01,0.0
13647,750374,16000.0,16000.0,15975.0, 60 MONTHS,11.99,355.84,B,B5,DCP DUNKIN DONUTS,5 YEARS,MORTGAGE,75000.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,128XX,NY,12.21,0,1996-04-01,2,15,0,9480,30.7,48,0.0,0.0,6402.94,6393.01,3828.89,2551.57,0.0,22.48,0.0,2012-12-01,355.84,2016-05-01,0.0
13653,778203,25000.0,25000.0,24975.0, 36 MONTHS,15.62,874.25,D,D1,NIAGARA FALLS MEMORIAL MEDICAL CENTER,10+ YEARS,OWN,84000.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,143XX,NY,21.96,0,1979-02-01,2,18,0,24321,31.7,40,0.0,0.0,15148.44,15133.33,3988.11,2173.96,43.64050397,8942.73,1608.17,2012-02-01,54.46,2016-04-01,0.0
13657,778167,1300.0,1300.0,1300.0, 36 MONTHS,6.99,40.14,A,A3,PFSC,10+ YEARS,RENT,50000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,972XX,OR,16.8,0,1999-02-01,1,11,0,38871,69.3,21,0.0,0.0,880.88,880.88,760.16,120.72,0.0,0.0,0.0,2013-04-01,40.14,2016-05-01,0.0
13661,777801,9600.0,9600.0,9575.0, 36 MONTHS,5.99,292.01,A,A2,CARD LOCK FUEL SYSTEMS,6 YEARS,RENT,43200.0,NOT VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,913XX,CA,8.03,0,1981-06-01,0,6,0,9190,57.0,8,0.0,0.0,431.57,430.45,0.0,0.0,0.0,431.57,4.21,,0.0,2011-11-01,0.0
13681,777849,10000.0,10000.0,10000.0, 36 MONTHS,11.99,332.1,B,B5,BAGELS GALORE,10+ YEARS,RENT,30000.0,NOT VERIFIED,2011-06-01,CHARGED OFF,HOME_IMPROVEMENT,070XX,NJ,8.6,0,2000-12-01,0,5,0,5872,58.7,7,0.0,0.0,7236.25,7236.25,5393.67,1578.33,0.0,264.25,3.0,2013-03-01,332.1,2016-05-01,0.0
13682,777854,26375.0,16875.0,12675.00402, 60 MONTHS,18.79,435.8,E,E3,THE TRUMP NETWORK,2 YEARS,MORTGAGE,110000.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,030XX,NH,15.63,2,1999-08-01,0,11,0,22944,38.1,20,0.0,0.0,8747.56,6568.37,2241.87,2978.85,0.0,3526.84,634.8312,2012-06-01,435.8,2012-12-01,0.0
13686,775388,35000.0,21225.0,20525.12811, 60 MONTHS,15.23,507.51,C,C5,SOS SECURITY INC,8 YEARS,MORTGAGE,95000.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,060XX,CT,7.83,0,1998-02-01,1,9,0,39584,51.1,36,0.0,0.0,18270.36,16897.94,10756.12,7514.24,0.0,0.0,0.0,2014-07-01,46.11,2016-04-01,0.0
13687,777826,12000.0,12000.0,11975.0, 60 MONTHS,22.11,332.18,G,G1,CAR-TEL COMMUNICATIONS,3 YEARS,RENT,47000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,SMALL_BUSINESS,080XX,NJ,11.06,1,2006-01-01,0,7,0,2823,49.5,10,0.0,0.0,6302.68,6289.57,2496.42,3806.26,0.0,0.0,0.0,2013-01-01,332.18,2016-05-01,0.0
13695,777771,30000.0,18425.0,18400.0, 60 MONTHS,18.79,475.83,E,E3,MORGAN STANLEY,1 YEAR,RENT,100000.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,112XX,NY,7.4,1,2000-10-01,1,8,0,7295,49.0,31,0.0,0.0,13114.51,13096.87,8123.6,4990.91,0.0,0.0,0.0,2014-04-01,61.68,2016-04-01,0.0
13698,777763,25000.0,25000.0,24950.0, 60 MONTHS,11.49,549.69,B,B4,AXELACARE,7 YEARS,MORTGAGE,170000.0,VERIFIED,2011-06-01,CHARGED OFF,SMALL_BUSINESS,662XX,KS,12.24,0,1984-06-01,0,13,0,8663,30.2,30,0.0,0.0,29534.19,29475.56,22559.84,6881.86,0.0,92.49,16.6482,2015-09-01,549.69,2016-05-01,0.0
13700,777710,2000.0,2000.0,1975.0, 36 MONTHS,5.99,60.84,A,A2,KELLYS HARDWARE,1 YEAR,RENT,19200.0,NOT VERIFIED,2011-06-01,CHARGED OFF,OTHER,720XX,AR,2.06,0,2001-03-01,0,5,0,2197,24.1,21,0.0,0.0,622.08,614.31,204.45,38.38,14.99013807,364.26,74.9336,2011-10-01,60.84,2012-04-01,0.0
13705,777661,18550.0,18550.0,18500.0, 60 MONTHS,14.79,439.27,C,C4,KIDS ADVENTURES,2 YEARS,RENT,35000.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,802XX,CO,24.79,0,2006-06-01,3,7,0,2259,15.9,8,0.0,0.0,5393.5,5379.0,2460.99,2362.62,0.0,569.89,6.41,2012-05-01,439.27,2012-10-01,0.0
13707,419640,16000.0,11475.0,11475.0, 60 MONTHS,16.49,282.05,D,D3,EVERGREEN,2 YEARS,OTHER,32000.0,NOT VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,275XX,VA,17.93,0,2003-08-01,0,10,1,12741,45.7,18,0.0,0.0,13820.45,13820.45,8594.72,5195.15,0.0,30.58,5.504400003,2015-07-01,564.1,2016-05-01,1.0
13708,751329,10000.0,10000.0,10000.0, 36 MONTHS,15.23,347.79,C,C5,BOSTON BEAUTY,< 1 YEAR,RENT,60000.0,NOT VERIFIED,2011-06-01,CHARGED OFF,SMALL_BUSINESS,021XX,MA,18.38,1,1996-05-01,2,16,0,28464,54.1,27,0.0,0.0,7242.02,7242.02,4975.12,1955.88,0.0,311.02,3.05,2013-02-01,347.79,2013-08-01,0.0
13710,777541,30000.0,30000.0,29975.0, 36 MONTHS,18.39,1090.46,E,E2,ROSS STORES. INC.,1 YEAR,MORTGAGE,116000.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,945XX,CA,12.04,0,2001-04-01,1,10,0,32081,71.1,25,0.0,0.0,29609.57,29585.04,18082.78,8085.59,0.0,3441.2,556.8498,2013-07-01,81.23,2013-11-01,0.0
13712,777519,4000.0,4000.0,4000.0, 36 MONTHS,13.99,136.7,C,C3,PRIMEX PLASTIC,10+ YEARS,MORTGAGE,50400.0,NOT VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,890XX,NV,22.4,0,1987-05-01,3,14,0,9930,47.1,26,0.0,0.0,4080.85,4080.85,3316.26,671.79,0.0,92.8,16.704,2013-02-01,1637.09,2013-05-01,0.0
13719,777340,15550.0,15550.0,15525.0, 60 MONTHS,16.89,385.54,D,D4,COUNTY OF GLENN,7 YEARS,RENT,50000.0,NOT VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,959XX,CA,21.96,0,1999-07-01,0,8,0,17377,50.7,26,0.0,0.0,1832.58,1829.66,504.79,646.58,0.0,681.21,6.56,2011-09-01,385.54,2015-12-01,0.0
13729,777252,22000.0,22000.0,21750.0, 60 MONTHS,13.49,506.11,C,C2,MARK DUNNING INDUSTRIES,10+ YEARS,OWN,49000.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,363XX,AL,22.26,0,2001-04-01,0,10,0,15284,51.1,25,0.0,0.0,10077.34,9962.59,5119.69,3969.77,0.0,987.88,9.27,2012-12-01,506.11,2013-06-01,0.0
13731,777226,18000.0,18000.0,18000.0, 60 MONTHS,17.49,452.11,D,D5,RICHEMONT NORTH AMERICA,10+ YEARS,RENT,80000.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,903XX,CA,17.02,0,1998-09-01,2,20,0,15000,25.5,38,0.0,0.0,4541.76,4541.76,2040.33,2489.48,0.0,11.95,0.0,2012-04-01,926.83,2016-05-01,0.0
13741,775556,4800.0,4800.0,4800.0, 36 MONTHS,8.49,151.51,A,A5,A & J ESCORT & FLAG CAR SERVICE INC.,10+ YEARS,OWN,48000.0,NOT VERIFIED,2011-06-01,CHARGED OFF,OTHER,290XX,SC,22.77,0,2002-04-01,0,10,0,12909,56.9,24,0.0,0.0,2297.15,2297.15,1713.1,395.16,0.0,188.89,1.88,2012-08-01,151.51,2013-02-01,0.0
13743,776948,4000.0,4000.0,4000.0, 36 MONTHS,5.42,120.64,A,A1,UNITED STATES POST OFFICE,10+ YEARS,MORTGAGE,75000.0,NOT VERIFIED,2011-06-01,CHARGED OFF,HOME_IMPROVEMENT,631XX,MO,11.63,0,1989-07-01,0,7,0,18120,59.4,21,0.0,0.0,1580.31,1580.31,1366.53,198.79,14.98824451,0.0,0.0,2012-07-01,120.64,2016-05-01,0.0
13774,776221,2800.0,2800.0,2800.0, 36 MONTHS,11.49,92.32,B,B4,NORDSTROM,2 YEARS,RENT,24000.0,NOT VERIFIED,2011-06-01,CHARGED OFF,MOVING,331XX,FL,20.9,0,2000-09-01,3,12,0,4983,77.9,34,0.0,0.0,1103.63,1103.63,825.41,278.22,0.0,0.0,0.0,2012-06-01,92.32,2016-05-01,0.0
13782,776019,24000.0,24000.0,24000.0, 36 MONTHS,19.69,888.14,E,E5,"THE ULTIMATE SOFTWARE GROUP, INC",8 YEARS,MORTGAGE,119000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,339XX,FL,14.81,0,1983-10-01,1,10,0,31881,98.7,23,0.0,0.0,7104.76,7104.76,4183.45,2911.51,0.0,9.8,0.0,2012-02-01,888.14,2016-05-01,0.0
13783,776021,16000.0,16000.0,15975.0, 60 MONTHS,18.39,409.7,E,E2,NYC DEPT OF EDUCATION/JOHN BOWNE HIGH,1 YEAR,RENT,51000.0,VERIFIED,2011-06-01,CHARGED OFF,OTHER,113XX,NY,19.25,0,2005-08-01,0,4,0,5217,80.3,6,0.0,0.0,19253.98,19223.9,11203.28,8050.7,0.0,0.0,0.0,2015-05-01,409.7,2016-05-01,0.0
13794,775726,25000.0,25000.0,24975.0, 60 MONTHS,21.74,686.79,F,F5,MT. HOLLY POLICE DEPT.,10+ YEARS,MORTGAGE,82400.0,VERIFIED,2011-06-01,CHARGED OFF,HOME_IMPROVEMENT,080XX,NJ,6.9,0,2001-08-01,8,3,0,0,0.0,17,0.0,0.0,15516.88,15501.48,5895.34,8526.09,0.0,1095.45,10.51,2013-04-01,42.54,2013-08-01,0.0
13796,775712,33000.0,33000.0,31690.06359, 60 MONTHS,17.99,837.81,E,E1,WYCKOFF FARMS INC,10+ YEARS,MORTGAGE,82800.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,989XX,WA,21.88,0,1993-12-01,1,11,0,12739,50.6,30,0.0,0.0,12565.77,9712.9,5709.03,6856.74,0.0,0.0,0.0,2012-10-01,30.94,2016-05-01,0.0
13803,775634,21000.0,21000.0,19930.19101, 60 MONTHS,16.89,520.67,D,D4,SCHNEIDER FINANCE,1 YEAR,RENT,89916.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,OTHER,549XX,WI,20.47,1,2001-12-01,1,6,0,216,16.6,18,0.0,0.0,9306.41,7050.31,3994.93,4335.25,0.0,976.23,9.38,2012-11-01,26.88,2013-03-01,0.0
13806,775551,8000.0,8000.0,8000.0, 36 MONTHS,13.99,273.39,C,C3,BANK OF AMERICA,10+ YEARS,RENT,58000.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,600XX,IL,11.77,0,2000-01-01,3,23,0,9069,32.1,44,0.0,0.0,5467.63,5467.63,4018.86,1432.74,0.0,16.03,0.0,2013-02-01,273.39,2013-02-01,0.0
13808,774171,17000.0,17000.0,16950.0, 36 MONTHS,12.99,572.72,C,C1,BANK OF AMERICA,1 YEAR,RENT,35400.0,VERIFIED,2011-06-01,CHARGED OFF,DEBT_CONSOLIDATION,112XX,NY,15.97,0,2001-11-01,1,4,0,277,35.6,26,0.0,0.0,12627.04,12589.93,9574.46,3002.42,28.59096893,21.57,0.0,2013-04-01,1174.08,2016-05-01,0.0
13817,775378,5000.0,5000.0,5000.0, 60 MONTHS,15.99,121.57,D,D2,CITY OF NEW HAVEN BOARD OF EDUCATION,10+ YEARS,RENT,65004.0,SOURCE VERIFIED,2011-06-01,CHARGED OFF,OTHER,065XX,CT,3.43,2,1996-11-01,1,15,1,2274,25.8,33,0.0,0.0,6078.5,6078.5,3852.35,2195.75,0.0,30.4,5.472,2015-08-01,121.57,2016-04-01,0.0
